"likesCount","timestamp","commentsCount","videoViewCount","videoDuration"
"418864","2022-07-21T14:30:55.000Z","677","3829848","9.833"
"857157","2022-05-28T15:04:05.000Z","1248","7979900","16.666"
"1483847","2022-06-24T14:03:52.000Z","4901","10334083","20.966"
"681770","2022-04-21T13:02:03.000Z","2188","5526845","11.933"
"768259","2022-06-22T14:30:29.000Z","2917","6383940","15.6"
"387064","2022-04-13T15:18:02.000Z","766","4084774","10.833"
"737258","2022-04-27T18:11:11.000Z","1555","4709828","18.833"
"516885","2022-10-13T15:03:40.000Z","1215","5085366","16.966"
"801715","2022-06-03T12:58:48.000Z","1738","8327316","8.933"
"667104","2023-01-14T16:03:10.000Z","1820","8864624","12"
"699029","2022-02-18T16:48:30.000Z","1111","9177799","13.733"
"669281","2022-02-23T16:16:16.000Z","2327","5019922","16.7"
"1467511","2022-02-14T15:19:46.000Z","4249","5841974","19.066"
"1519115","2022-04-06T15:23:46.000Z","2493","17993045","13.133"
"1569986","2022-02-11T17:38:47.000Z","3106","13607569","26.266"
"775200","2022-03-17T14:46:29.000Z","1582","9166857","7.666"
"631781","2022-03-11T15:53:19.000Z","588","7419198","6.266"
"714672","2022-07-16T13:31:23.000Z","881","9478006","15.433"
"367401","2022-02-05T16:48:29.000Z","937","3013200","30.833"
"540420","2022-01-29T16:05:10.000Z","596","4972281","18.533"
"432667","2022-04-01T14:47:14.000Z","901","3958644","13.6"
"1074525","2022-01-12T14:47:59.000Z","2120","8669081","16.4"
"1216603","2022-01-16T16:23:11.000Z","1994","9724759","10.3"
"611751","2021-12-07T18:51:53.000Z","957","5389373","14.833"
"603361","2021-10-31T15:47:58.000Z","1050","5487619","11.933"
"618000","2021-11-24T23:35:51.000Z","1281","4801062","20.266"
"1233673","2021-11-12T15:09:16.000Z","3503","8748265","26.366"
"441384","2021-11-23T15:06:21.000Z","659","3686727","25.7"
"665243","2021-12-14T16:34:10.000Z","1091","5301972","18.533"
"901420","2021-12-11T16:49:02.000Z","1537","6850046","13.866"
"632660","2021-12-17T17:12:20.000Z","1079","5544861","11.9"
"779752","2021-11-10T14:48:31.000Z","1363","7883169","13.233"
"480663","2021-10-25T15:07:46.000Z","957","3322996","18.533"
"1161594","2022-06-13T15:04:19.000Z","1012","12381902","9.633"
"219017","2021-10-12T18:32:10.000Z","178","2937167","12.833"
"1321879","2021-10-15T16:54:07.000Z","2735","11794667","26.866"
"1033704","2021-10-04T14:23:02.000Z","1692","9975582","16.466"
"970828","2021-10-20T16:09:49.000Z","956","10965070","10.4"
"2195809","2021-09-07T19:52:59.000Z","2656","29855873","14.333"
"694565","2021-09-20T15:55:18.000Z","1603","5148213","14.833"
"2237132","2021-09-15T18:01:40.000Z","3930","18883638","9.8"
"1092436","2021-09-27T23:47:32.000Z","1778","10927856","13.233"
"454127","2021-09-23T16:11:05.000Z","1104",,
"849052","2021-11-19T20:10:48.000Z","1550","7212291","23.1"
"1294495","2021-10-29T16:09:06.000Z","2606","13193679","15.833"
"518008","2021-10-08T14:51:02.000Z","1487","3759513","20.4"
"566978","2021-09-03T15:11:40.000Z","1082","4452258","27.066"
"1272295","2021-06-09T15:08:00.000Z","3364","8475293","18.8"
"1076835","2021-05-20T14:18:45.000Z","3361","7679061","22.733"
"873667","2021-07-21T15:29:19.000Z","1543","8155939","11.233"
"980840","2021-08-17T13:56:22.000Z","1206","10179519","20.8"
"853378","2021-07-08T14:18:13.000Z","1546","7899797","21.3"
"653854","2021-08-12T13:59:48.000Z","1156","5988261","16.2"
"2302345","2021-06-24T14:52:55.000Z","7701","19166179","17.666"
"982733","2021-07-27T17:08:12.000Z","3050","5947283","28.733"
"726512","2021-08-29T15:23:52.000Z","1501","4795948","19.666"
"841803","2021-04-02T14:54:42.000Z","1330","8975114","14.566"
"2686796","2021-05-04T17:10:57.000Z","6759","28776353","11.966"
"831632","2021-04-22T14:30:42.000Z","1329","8484081","29.9"
"1623841","2021-05-08T15:02:09.000Z","5922","12353241","23.533"
"671420","2021-05-11T17:23:08.000Z","1908","5397864","23.566"
"999366","2021-04-30T15:45:56.000Z","1564","8807811","16.566"
"776702","2021-04-27T15:58:58.000Z","794","7369018","27.2"
"1191061","2021-04-16T14:05:54.000Z","2093","5991774","29.233"
"1132277","2021-03-30T15:21:18.000Z","2632","6699313","29.6"
"713351","2021-05-19T13:02:47.000Z","1160","5813628","18.5"
"437920","2021-07-13T15:00:05.000Z","513","5259230","13.233"
"662992","2021-08-05T17:56:53.000Z","1696","4234173","55.333"
"986918","2021-04-07T15:13:55.000Z","1653","6943890","12.133"
"1315812","2021-09-13T14:09:58.000Z","4402","11317044","13.566"
"602927","2021-06-18T17:38:59.000Z","1157","4384471","18.066"
"1465101","2021-02-14T15:58:44.000Z","1720","7921255","19.633"
"722589","2021-02-20T14:51:41.000Z","1219","6297277","17.733"
"990498","2021-02-12T16:26:40.000Z","1951","5616615","29.966"
"888060","2021-03-23T14:31:07.000Z","3331","5812415","21.3"
"1422491","2021-03-10T14:39:51.000Z","4491","9521750","22.4"
"1117543","2021-03-26T14:25:17.000Z","2409","7956913","14.3"
"940962","2021-02-17T16:20:41.000Z","2163","8073826","13.433"
"877340","2021-03-13T14:27:16.000Z","2229","7093963","16.733"
"1316757","2021-02-22T15:00:41.000Z","3579","7021081","27.733"
"482059","2021-03-22T14:05:35.000Z","1153","4429577","11.5"
"676643","2021-03-04T14:53:23.000Z","2189","11061183","29.333"
"872121","2021-01-13T16:33:31.000Z","3619","8241838","8.8"
"864228","2021-02-04T16:44:11.000Z","2216","6824171","12.8"
"776344","2020-12-22T16:16:43.000Z","2207","6139008","15.666"
"1462595","2021-01-27T15:14:48.000Z","5589","10972697","18.333"
"1052359","2021-01-07T14:30:57.000Z","4136","7483564","20.133"
"717128","2021-01-16T18:04:40.000Z","1235","7804316","13.9"
"961143","2021-03-02T14:40:57.000Z","1638","6734308","11.3"
"325805","2020-12-19T18:01:51.000Z","483",,
"617054","2021-01-25T17:12:21.000Z","1381","4258339","30.033"
"1205381","2020-12-25T16:14:12.000Z","2658","9263796","12.166"
"782520","2021-01-10T17:41:36.000Z","1878","6361119","13.9"
"1056987","2020-12-05T16:18:55.000Z","3775","8970584","12.9"
"1685858","2020-11-11T18:58:49.000Z","4321","21137965","13"
"858203","2020-11-18T16:37:48.000Z","4682","6620729","29.666"
"1197352","2020-12-16T15:31:36.000Z","2272","10290278","12.6"
"853056","2021-04-19T14:43:31.000Z","2115","5794549","17.433"
"1155248","2020-11-17T21:32:16.000Z","2868","10302654","13.4"
"843184","2021-01-22T17:18:05.000Z","2151","5657016","13.966"
"706582","2020-12-02T17:05:42.000Z","2185","5598483","23.5"
"816582","2020-12-18T17:46:17.000Z","2122","5485042","14.233"
"738893","2020-11-25T16:50:44.000Z","2807","4443675","59.6"
"610512","2020-11-15T16:28:01.000Z","1121","5929197","10.5"
"879000","2020-11-26T17:09:52.000Z","2732","6064448","14.966"
"774288","2020-12-10T16:03:44.000Z","2860","4886510","23.9"
"728015","2020-12-24T15:14:40.000Z","1597","4960026","12.166"
"870827","2020-09-27T15:30:07.000Z","2310","7831089","12.833"
"997791","2020-09-24T15:26:51.000Z","2227","6561683","14.1"
"1865673","2020-10-20T15:26:48.000Z","6135","16145905","14.5"
"1057284","2020-09-08T14:22:02.000Z","6047","10132437","10.233"
"417535","2020-09-04T13:03:59.000Z","1555","2824738","54.633"
"669079","2020-10-24T17:33:16.000Z","1648","4509984","23.1"
"1342176","2020-10-30T15:43:46.000Z","4159","12114239","14.966"
"554100","2020-10-28T20:49:25.000Z","1698","4006711","25.166"
"909240","2020-11-28T15:12:09.000Z","2521","5949314","15.566"
"588918","2020-10-29T16:28:06.000Z","1013",,
"766411","2020-10-05T16:23:05.000Z","1233","6809059","12"
"1459788","2020-09-17T20:49:18.000Z","4287","10467728","14.966"
"853173","2020-06-12T17:19:01.000Z","1756","7582548","10.933"
"1005375","2020-08-20T14:00:50.000Z","9146","7185633","117.2"
"1175858","2020-07-15T14:05:20.000Z","5025","8802912","14.466"
"365693","2020-06-02T05:30:47.000Z","1898",,
"1189901","2020-09-02T14:26:51.000Z","9853","10388869","5.166"
"1310393","2020-08-29T13:52:31.000Z","3964","7816928","22.533"
"753816","2020-08-01T14:55:59.000Z","2524","6783552","13.666"
"751712","2020-06-21T15:52:42.000Z","6270","6001337","265"
"1972763","2020-07-25T15:43:55.000Z","11076","11163915","14.466"
"1636233","2020-05-09T15:09:09.000Z","11774","10753682","28.933"
"1078556","2020-05-15T15:17:58.000Z","4287","7481102","18.4"
"392039","2020-05-02T15:49:21.000Z","1564","4456199","21.366"
